site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
16,DUNLAP RANCH II,8,-7.524694716071429,73.19212110866333,7.4713124678571425,1.9437561,-23.381516,85.44476453003121,15.026611,0.0,0.5357142857142857,0.46428571428571425,0.0,9,9,15,8,0.0,True,0.0
18,ELK REPOWER,8,-0.27019581428571393,61.528950241994245,3.9847187464285714,14.73941,-21.922165,88.03060109865659,9.217728,0.0,0.7142857142857143,1.0,0.0,9,9,11,1,0.0,True,0.0
19,EWINGTON,8,-3.9050028574999995,67.25926913513698,4.7522313107142855,12.31192,-24.278564,91.55187949033235,12.477555,0.0,0.6071428571428571,0.9285714285714286,0.0,9,9,14,3,0.0,True,0.0
21,FORWARD FONTANELLE,8,1.2753126764285716,56.83808147213303,4.312010671428571,17.879059,-17.949936,93.77200110519291,8.561391,0.0,0.75,1.0,0.0,9,9,10,1,0.0,True,0.0
23,GLENROCK,8,-5.237309345714285,65.1117101067153,6.754852678571429,8.353668,-27.208359,79.00452549036842,16.389372,0.0,0.8571428571428572,0.5357142857142857,0.0,9,9,6,7,0.0,True,0.0
24,GLENROCK III,8,-5.237309345714285,65.1117101067153,6.3825386250000005,8.353668,-27.208359,79.00452549036842,15.562025,0.0,0.8571428571428572,0.5357142857142857,0.0,9,9,6,7,0.0,True,0.0
25,GLENVILLE,8,-3.603866517857143,69.96910540708697,4.480691457142857,11.596344,-22.899704,90.94078172455016,11.067166,0.0,0.4642857142857143,0.9642857142857143,0.0,9,9,16,2,0.0,True,0.0
26,GREEN ENERGY MACHINE,8,1.2746802049999992,56.64071141369844,4.280946710714286,17.877106,-18.48265,93.78599749984647,8.604813,0.0,0.75,1.0,0.0,9,9,10,1,0.0,True,0.0
27,GREENFIELD,8,1.4361046721428574,56.87615845843975,4.344922703571429,18.166168,-17.714096,93.81315460493155,8.65941,0.0,0.75,1.0,0.0,9,9,10,1,0.0,True,0.0
28,HASTINGS,8,2.7235093903571426,47.56991150756649,4.13249855,18.67984,-16.468231,88.56569497172929,9.447272,0.0,0.8928571428571428,1.0,0.0,9,9,5,1,0.0,True,0.0
