site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
18,ELK REPOWER,43,14.452107642857143,44.09250853438261,3.711047242857143,22.76773,5.6315002,58.93532637882982,6.7314806,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
19,EWINGTON,43,14.6518845,46.28956274044516,4.479748671428571,23.22696,3.270172,63.16891866416907,8.374175,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
23,GLENROCK,43,12.911491757142857,45.033546943927774,4.732578285714285,19.072662,2.6012268,69.83711228452742,10.340852,0.4285714285714285,1.0,0.8571428571428571,0.2857142857142857,6,5,1,2,0.2857142857142857,False,0.2857142857142857
25,GLENVILLE,43,14.722545857142856,41.99605904876309,4.595675857142857,22.881256,4.004547,58.41952583898576,8.47376,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
29,HAWKEYE REPOWER,43,14.382740142857145,43.417707681948286,4.1479000571428575,22.071442,4.5055237,58.58210725998438,7.628074,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
32,INDEPENDENCE,43,14.82507842857143,42.72598031712055,4.015349585714286,23.254547,6.0519104,59.048836734451314,7.411674,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
38,MANCHESTER,43,14.687560285714286,43.20563765342741,3.906553157142857,23.08609,5.8370667,59.00143994229183,7.149305,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
39,MASON CITY,43,15.03110742857143,40.55710885348752,4.4639687,22.974518,3.7189026,58.04545390515305,8.191009,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
40,MASON CITY 2.3-116 WTG,43,15.03110742857143,40.55710885348752,4.4639687,22.974518,3.7189026,58.04545390515305,8.191009,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
42,PALMERS CREEK,43,14.809840214285714,46.02555152359711,4.024299114285714,24.407135,2.2296448,55.41934165198511,7.651073,0.2857142857142857,1.0,1.0,0.2857142857142857,6,6,1,1,0.2857142857142857,False,0.2857142857142857
